Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,Refactored/Justification
..,com.Group11.soulfulplates.controllers,CategoryController,Feature Envy,The tool detected a instance of this smell because editCategory is more interested in members of the type: CategoryService,
..,com.Group11.soulfulplates.controllers,CategoryController,Feature Envy,The tool detected a instance of this smell because editSubcategory is more interested in members of the type: SubcategoryService,
..,com.Group11.soulfulplates.controllers,OrderController.UpdateOrderStatusRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: orderId; status
..,com.Group11.soulfulplates.controllers,OrderController.UpdateOrderStatusRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.controllers,StoreController,Feature Envy,The tool detected a instance of this smell because createStore is more interested in members of the type: StoreService,
..,com.Group11.soulfulplates.controllers,StoreController,Feature Envy,The tool detected a instance of this smell because deleteStore is more interested in members of the type: StoreService,
..,com.Group11.soulfulplates,Group11SoulfulPlates,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,Address,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: addressId; street; city; state; postalCode; country; latitude; longitude; label; user,
..,com.Group11.soulfulplates.models,Delivery,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id
..,com.Group11.soulfulplates.models,Delivery,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,DeliveryPerson,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: personId; name; contactNumber; vehicleType; currentLocation
..,com.Group11.soulfulplates.models,DeliveryPerson,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,DeliveryPerson,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: personId; name; contactNumber; vehicleType; currentLocation,
..,com.Group11.soulfulplates.models,EDelivery,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
..,com.Group11.soulfulplates.models,EDelivery,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,EDeliveryPerson,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
..,com.Group11.soulfulplates.models,EOrder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
..,com.Group11.soulfulplates.models,EOrder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,EPayment,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
..,com.Group11.soulfulplates.models,EPayment,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,ERefund,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
..,com.Group11.soulfulplates.models,ERole,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
..,com.Group11.soulfulplates.models,ESubscriptionOption,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
..,com.Group11.soulfulplates.models,ESubscriptionOrder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
..,com.Group11.soulfulplates.models,EUserFoodPreference,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
..,com.Group11.soulfulplates.models,MenuItem,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: menuItemId; storeId; itemName; itemImage; itemPrice; type; categoryId; subCategoryId; servingType; portion; inStock; isRecommended; description,
..,com.Group11.soulfulplates.models,Order,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Rating; Order,
..,com.Group11.soulfulplates.models,Refund,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,Refund,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: refundId; payment; amount; refundDate; reason; status,
..,com.Group11.soulfulplates.models,Review,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,Review,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: reviewId; user; menuItem; rating; comment; date,
..,com.Group11.soulfulplates.models,Store,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Store; User,
..,com.Group11.soulfulplates.models,SubscriptionOption,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: subscriptionId; menuItem; numberOfMenuItem; duration; price; isActive,
..,com.Group11.soulfulplates.models,SubscriptionOrder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,SubscriptionOrder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: subscriptionOrderId; user; subscriptionOption; startDate; endDate; status,
..,com.Group11.soulfulplates.models,SubscriptionOrderStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
..,com.Group11.soulfulplates.models,SubscriptionOrderStatus,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,UserFoodPreference,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: preferenceId; user; preferenceType; description
..,com.Group11.soulfulplates.models,UserFoodPreference,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.models,Wishlist,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: wishlistId; user; createdDate; wishlistItems
..,com.Group11.soulfulplates.models,WishlistItem,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this is a Model which has some getters and setters that go unused
..,com.Group11.soulfulplates.payload.request,CartItemDto,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.payload.request,CreateCartItemRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.payload.request,CreateCartRequest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.payload.request,CreateOrderRequest.SelectedItem,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: menuItemId; itemName; quantity; price
..,com.Group11.soulfulplates.payload.request,CreateOrderRequest.SelectedItem,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.request,ForgetPasswordRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: email
..,com.Group11.soulfulplates.payload.request,LoginRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: username; password
..,com.Group11.soulfulplates.payload.request,MenuItemRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: storeId; itemName; itemImage; itemPrice; type; categoryId; category; subCategoryId; subCategory; servingType; portion; inStock; isRecommended; description,
..,com.Group11.soulfulplates.payload.request,PaymentFilterRequestSeller,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: storeId; limit; offset; status
..,com.Group11.soulfulplates.payload.request,ResetPasswordRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: email; newPassword; OTP_Code
..,com.Group11.soulfulplates.payload.request,SignupRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: username; firstname; email; role; password; contactNumber,
..,com.Group11.soulfulplates.payload.response,CartItemDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.payload.response,CartItemDTO,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 31 public methods,
..,com.Group11.soulfulplates.payload.response,CartItemResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.payload.response,CartResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),Refactored
..,com.Group11.soulfulplates.payload.response,CreateOrderResponse.Data,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: orderId
..,com.Group11.soulfulplates.payload.response,CreateOrderResponse.Data,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,CreatePaymentResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,OrderDetailsResponse.OrderDetails,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,OrderDetailsResponse.OrderDetails,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: orderId; orderStatus; createdDate; userId; storeId; rating; feedback; paymentStatus; totalAmount; instructions; items; itemId; storeId; itemName; itemImage; itemPrice; type; categoryId; category; subCategoryId; subCategory; servingType; portion; inStock; isRecommended; description,
..,com.Group11.soulfulplates.payload.response,OrderDetailsResponse.MenuItemDTO,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,OrderDetailsResponse.MenuItemDTO,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: itemId; storeId; itemName; itemImage; itemPrice; type; categoryId; category; subCategoryId; subCategory; servingType; portion; inStock; isRecommended; description,
..,com.Group11.soulfulplates.payload.response,OrdersResponse.OrderData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,OrdersResponse.OrderData,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: orderId; orderStatus; createdDate; userId; storeId; rating; feedback; paymentStatus; totalAmount; instructions; items; itemId; storeId; itemName; itemImage; itemPrice; type; categoryId; category; subCategoryId; subCategory; servingType; portion; inStock; isRecommended; description,
..,com.Group11.soulfulplates.payload.response,OrdersResponse.ItemData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,OrdersResponse.ItemData,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: itemId; storeId; itemName; itemImage; itemPrice; type; categoryId; category; subCategoryId; subCategory; servingType; portion; inStock; isRecommended; description,
..,com.Group11.soulfulplates.payload.response,PaymentFilterResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,SellerResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,SellerResponse.SellerData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,SellerResponse.SellerData,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; token; username; email; contactNumber; firstname; image; seller; sellerId; storeImage; storeName; storeContactNumber; storeEmail; storeAddress; locationId; locationName; address; lat; lon; postalCode; province; city,
..,com.Group11.soulfulplates.payload.response,SellerResponse.SellerDetails,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,SellerResponse.SellerDetails,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: sellerId; storeImage; storeName; storeContactNumber; storeEmail; storeAddress; locationId; locationName; address; lat; lon; postalCode; province; city,
..,com.Group11.soulfulplates.payload.response,SellerResponse.StoreAddress,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive because this abstaction is a DTO which cannot be avoided 
..,com.Group11.soulfulplates.payload.response,SellerResponse.StoreAddress,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: locationId; locationName; address; lat; lon; postalCode; province; city,
..,com.Group11.soulfulplates.security.jwt,AuthTokenFilter,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: jwtUtils; userDetailsService; logger,
..,com.Group11.soulfulplates.security,WebSecurityConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),False positive
